,record_id,user_id,datetime,current_pb,ever_pb,final_time,pps,inputs,score,pieces_placed,singles,doubles,triples,quads,all_clears,finesse_faults,finesse_perf
49,6712b4264592153cf67ab286,62a51397bf6ce5ce2e84b6cd,2024-10-18T19:16:54.222Z,False,False,43730,3.179565383149066,496,38191,139,0,0,0,0,0,22,135
50,671288a2617589d4f9b1635d,62a51397bf6ce5ce2e84b6cd,2024-10-18T16:11:14.765Z,False,False,27313.333333333332,5.054945054945055,474,38289,138,0,0,0,0,0,1,137
51,6711a1192c84b6f1ce39521f,62a51397bf6ce5ce2e84b6cd,2024-10-17T23:43:20.999Z,False,False,83583.33333333333,1.794616151545364,594,9125,150,20,0,0,0,0,32,143
52,671166236342213894ee375c,62a51397bf6ce5ce2e84b6cd,2024-10-17T19:31:47.621Z,False,False,43846.666666666664,3.4220532319391634,485,13830,150,5,3,0,7,0,17,144
53,6711604cad3121ce88b40946,62a51397bf6ce5ce2e84b6cd,2024-10-17T19:06:52.428Z,False,False,15773.333333333334,6.4059196617336145,320,11918,101,12,4,0,5,0,0,101
54,671130071f194bcc548c706a,62a51397bf6ce5ce2e84b6cd,2024-10-17T15:40:55.590Z,False,False,26580,5.232120451693852,480,38239,139,0,0,0,0,0,1,138
55,670fd4da92af27fe5fc56dd8,62a51397bf6ce5ce2e84b6cd,2024-10-16T14:59:38.654Z,False,False,24618.333333333332,5.687203791469194,476,38148,140,0,0,0,0,0,0,140
56,670fd47cad3121ce88b3d38d,62a51397bf6ce5ce2e84b6cd,2024-10-16T14:58:04.141Z,False,False,19716.666666666668,5.122569737954354,285,14766,101,0,0,0,10,0,0,101
57,670fd06b6342213894ee1659,62a51397bf6ce5ce2e84b6cd,2024-10-16T14:40:43.039Z,False,False,29241.666666666668,4.720638540478905,498,38326,138,0,0,0,0,0,0,138
58,670eed18ad3121ce88b3b4b5,62a51397bf6ce5ce2e84b6cd,2024-10-15T22:30:48.376Z,False,False,74888.33333333333,1.4689517026485643,322,12002,110,16,0,0,6,0,4,107
